,car_name,sub_name,quentity
0,XC60,2.0 D5 AWD,"2,069"
1,XC60,2.0 T6 AWD,716
2,XC60,2.0 D4 AWD,177
3,XC60,2.0 T8 AWD,30
4,XC60,2.0 T8 AWD,30
5,XC90,2.0 D5 AWD,"1,095"
6,XC90,2.0 T6 AWD,531
7,XC90,2.0 T8 AWD,103
8,XC90,2.0 T8 AWD,103
9,S90,2.0 T5,677
10,S90,2.0 D4,470
11,S90,2.0 D5 AWD,49
12,S90,2.0 D5 AWD,49
13,S60,2.0 D3,746
14,S60,2.0 D4,258
15,S60,2.0 T5,162
16,S60,2.0 Polestar,12
17,S60,2.0 Polestar,12
18,V90 Cross Country,2.0 T5 AWD,402
19,V90 Cross Country,2.0 D5 AWD,306
20,V90 Cross Country,2.0 D5 AWD,306
21,XC40,2.0 T4 AWD,556
22,XC40,2.0 T4 AWD,556
23,V40,2.0 D3,401
24,V40,2.0 T5,67
25,V40,2.0 T5,67
26,V40 Cross Country,2.0 D3,268
27,V40 Cross Country,2.0 D4,32
28,V40 Cross Country,2.0 D4,32
29,V60 Cross Country,2.0 D4,157
30,V60 Cross Country,2.5 T5 AWD,44
31,V60 Cross Country,2.5 T5 AWD,44
32,V60,2.0 D3,28
33,V60,2.0 D4,23
34,V60,2.0 Polestar,5
35,V60,2.0 Polestar,5
